id_oferta;nome_produto;marca;linha;modelo;ram;armazenamento;conectividade;cor;condicao;loja;vendedor;preco;moeda;forma_pagamento;disponibilidade;beneficio_condicional;url;categoria;termo_pesquisado;data_coleta;origem_dados
MOCK-067;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ -150,00;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-067;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-072;Smartphone Samsung Galaxy A15 5G 128GB Preto;Samsung;Galaxy A;Galaxy A15;;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 925,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-072;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-035;  Smartphone  Samsung  Galaxy  S23  5G  128GB  8GB  RAM  Preto  ; SAMSUNG ;Galaxy S;Galaxy S23;8;128 GB;5G;Preto; novo ;Amazon Brasil;Amazon.com.br;R$ 3.036,90 no Pix;BRL;PIX;Em estoque;Nenhum;https://amazon.example/ofertas/mock-035;Smartphones;Samsung Galaxy S23 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-071;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 925,90;BRL;Pix;Disponível;Cupom exclusivo;https://magalu.example/ofertas/mock-071;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-007;Smartphone Samsung Galaxy A25 5G 128GB 6GB RAM Preto;Samsung;Galaxy A;Galaxy A25;6;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 1.523,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-007;Smartphones;Samsung Galaxy A25 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-033;SMARTPHONE SAMSUNG GALAXY S23 5G 128GB 8GB RAM PRETO;samsung;Galaxy S;Galaxy S23;8;128 GB;5G;Preto;NOVO;Samsung;Loja Samsung;  R$ 2.962,90  ;BRL; pix ; disponível ;Nenhum;https://samsung.example/ofertas/mock-033;Smartphones;Samsung Galaxy S23 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-043;Smartphone Samsung Galaxy S24 5G 256GB 8GB RAM Preto;Samsung;Galaxy S;Galaxy S24;8;256 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 3.923,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-043;Smartphones;Samsung Galaxy S24 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-018;Smartphone Samsung Galaxy A35 5G 128GB 6GB RAM Preto;samsung;Galaxy A;Galaxy A35;6 GB;128GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 1.762,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-018;Smartphones;Samsung Galaxy A35 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-019;Smartphone Samsung Galaxy A35 5G 256GB 8GB RAM Preto;Samsung;Galaxy A;Galaxy A35;8;256 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 1.936,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-019;Smartphones;Samsung Galaxy A35 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-048;Smartphone Samsung Galaxy S24 5G 256GB 8GB RAM Preto;samsung;Galaxy S;Galaxy S24;8 GB;256GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 3.886,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-048;Smartphones;Samsung Galaxy S24 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-037;Smartphone Samsung Galaxy S23 FE 5G 128GB 8GB RAM Preto;Samsung;Galaxy S;Galaxy S23 FE;8;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 2.525,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-037;Smartphones;Samsung Galaxy S23 FE 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-021;SMARTPHONE SAMSUNG GALAXY A35 5G 256GB 8GB RAM PRETO;samsung;Galaxy A;Galaxy A35;8;256 GB;5G;Preto;NOVO;Samsung;Loja Samsung;  R$ 2.010,90  ;BRL; pix ; disponível ;Nenhum;https://samsung.example/ofertas/mock-021;Smartphones;Samsung Galaxy A35 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-026;Smartphone Samsung Galaxy A55 5G 256GB 8GB RAM Preto; SAMSUNG ;Galaxy A;Galaxy A55;8 GB;256GB;5G;Preto; novo ;KaBuM!;Kabum;2.349,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-026;Smartphones;Samsung Galaxy A55 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-024;Smartphone Samsung Galaxy A35 5G 256GB 8GB RAM Preto;samsung;Galaxy A;Galaxy A35;8 GB;256GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 1.899,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-024;Smartphones;Samsung Galaxy A35 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-022;Smartphone Samsung Galaxy A35 5G 256GB 8GB RAM Preto;Samsung;Galaxy A;Galaxy A35;8 GB;256GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;1825.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-022;Smartphones;Samsung Galaxy A35 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-054;Smartphone Samsung Galaxy S24 FE 5G 256GB 8GB RAM Preto;samsung;Galaxy S;Galaxy S24 FE;8 GB;256GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 3.362,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-054;Smartphones;Samsung Galaxy S24 FE 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-011;  Smartphone  Samsung  Galaxy  A25  5G  128GB  6GB  RAM  Preto  ; SAMSUNG ;Galaxy A;Galaxy A25;6;128 GB;5G;Preto; novo ;Amazon Brasil;Amazon.com.br;R$ 1.449,90 no Pix;BRL;PIX;Em estoque;Nenhum;https://amazon.example/ofertas/mock-011;Smartphones;Samsung Galaxy A25 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-008;Smartphone Samsung Galaxy A25 5G 128GB 6GB RAM Preto; SAMSUNG ;Galaxy A;Galaxy A25;6 GB;128GB;5G;Preto; novo ;KaBuM!;Kabum;1.338,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-008;Smartphones;Samsung Galaxy A25 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-034;Smartphone Samsung Galaxy S23 5G 128GB 8GB RAM Preto;Samsung;Galaxy S;Galaxy S23;8 GB;128GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;2999.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-034;Smartphones;Samsung Galaxy S23 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-020;Smartphone Samsung Galaxy A35 5G 256GB 8GB RAM Preto; SAMSUNG ;Galaxy A;Galaxy A35;8 GB;256GB;5G;Preto; novo ;KaBuM!;Kabum;1.973,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-020;Smartphones;Samsung Galaxy A35 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-058;Smartphone Samsung Galaxy S24 Ultra 5G 256GB 12GB RAM Preto;Samsung;Galaxy S;Galaxy S24 Ultra;12 GB;256GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;5925.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-058;Smartphones;Samsung Galaxy S24 Ultra 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-057;SMARTPHONE SAMSUNG GALAXY S24 ULTRA 5G 256GB 12GB RAM PRETO;samsung;Galaxy S;Galaxy S24 Ultra;12;256 GB;5G;Preto;NOVO;Samsung;Loja Samsung;  R$ 6.110,90  ;BRL; pix ; disponível ;Nenhum;https://samsung.example/ofertas/mock-057;Smartphones;Samsung Galaxy S24 Ultra 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-046;Smartphone Samsung Galaxy S24 5G 256GB 8GB RAM Preto;Samsung;Galaxy S;Galaxy S24;8 GB;256GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;3812.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-046;Smartphones;Samsung Galaxy S24 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-052;Smartphone Samsung Galaxy S24 FE 5G 256GB 8GB RAM Preto;Samsung;Galaxy S;Galaxy S24 FE;8 GB;256GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;3288.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-052;Smartphones;Samsung Galaxy S24 FE 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-005;  Smartphone  Samsung  Galaxy  A15  5G  128GB  4GB  RAM  Preto  ; SAMSUNG ;Galaxy A;Galaxy A15;4;128 GB;5G;Preto; novo ;Amazon Brasil;Amazon.com.br;R$ 1.073,90 no Pix;BRL;PIX;Em estoque;Nenhum;https://amazon.example/ofertas/mock-005;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-001;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 925,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-001;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-028;Smartphone Samsung Galaxy A55 5G 256GB 8GB RAM Preto;Samsung;Galaxy A;Galaxy A55;8 GB;256GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;2423.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-028;Smartphones;Samsung Galaxy A55 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-042;Smartphone Samsung Galaxy S23 FE 5G 128GB 8GB RAM Preto;samsung;Galaxy S;Galaxy S23 FE;8 GB;128GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 2.710,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-042;Smartphones;Samsung Galaxy S23 FE 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-069;Smartphone Samsung 5G 128GB;Samsung;Galaxy A;;4;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 925,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-069;Smartphones;Samsung;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-015;SMARTPHONE SAMSUNG GALAXY A35 5G 128GB 6GB RAM PRETO;samsung;Galaxy A;Galaxy A35;6;128 GB;5G;Preto;NOVO;Samsung;Loja Samsung;  R$ 1.651,90  ;BRL; pix ; disponível ;Nenhum;https://samsung.example/ofertas/mock-015;Smartphones;Samsung Galaxy A35 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-038;Smartphone Samsung Galaxy S23 FE 5G 128GB 8GB RAM Preto; SAMSUNG ;Galaxy S;Galaxy S23 FE;8 GB;128GB;5G;Preto; novo ;KaBuM!;Kabum;2.562,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-038;Smartphones;Samsung Galaxy S23 FE 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-065;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 925,90;BRL;Cartão em 10x;Disponível;Nenhum;https://magalu.example/ofertas/mock-065;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-064;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 925,90;BRL;Pix;Esgotado;Nenhum;https://magalu.example/ofertas/mock-064;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-050;Smartphone Samsung Galaxy S24 FE 5G 256GB 8GB RAM Preto; SAMSUNG ;Galaxy S;Galaxy S24 FE;8 GB;256GB;5G;Preto; novo ;KaBuM!;Kabum;3.436,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-050;Smartphones;Samsung Galaxy S24 FE 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-045;SMARTPHONE SAMSUNG GALAXY S24 5G 256GB 8GB RAM PRETO;samsung;Galaxy S;Galaxy S24;8;256 GB;5G;Preto;NOVO;Samsung;Loja Samsung;  R$ 3.775,90  ;BRL; pix ; disponível ;Nenhum;https://samsung.example/ofertas/mock-045;Smartphones;Samsung Galaxy S24 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-023;  Smartphone  Samsung  Galaxy  A35  5G  256GB  8GB  RAM  Preto  ; SAMSUNG ;Galaxy A;Galaxy A35;8;256 GB;5G;Preto; novo ;Amazon Brasil;Amazon.com.br;R$ 1.862,90 no Pix;BRL;PIX;Em estoque;Nenhum;https://amazon.example/ofertas/mock-023;Smartphones;Samsung Galaxy A35 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-001;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;Samsung;Galaxy A;Galaxy A15;4;128 GB;5G;Preto;Novo;Magazine Luiza;Magalu;R$ 925,90;BRL;Pix;Disponível;Nenhum;https://magalu.example/ofertas/mock-001;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-006;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto;samsung;Galaxy A;Galaxy A15;4 GB;128GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 1.110,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-006;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-010;Smartphone Samsung Galaxy A25 5G 128GB 6GB RAM Preto;Samsung;Galaxy A;Galaxy A25;6 GB;128GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;1412.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-010;Smartphones;Samsung Galaxy A25 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-040;Smartphone Samsung Galaxy S23 FE 5G 128GB 8GB RAM Preto;Samsung;Galaxy S;Galaxy S23 FE;8 GB;128GB;5G;Preto;Novo;Casas Bahia;CASAS BAHIA;2636.90;BRL;Pix;Disponível;Nenhum;https://casas-bahia.example/ofertas/mock-040;Smartphones;Samsung Galaxy S23 FE 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-044;Smartphone Samsung Galaxy S24 5G 256GB 8GB RAM Preto; SAMSUNG ;Galaxy S;Galaxy S24;8 GB;256GB;5G;Preto; novo ;KaBuM!;Kabum;3.738,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-044;Smartphones;Samsung Galaxy S24 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-047;  Smartphone  Samsung  Galaxy  S24  5G  256GB  8GB  RAM  Preto  ; SAMSUNG ;Galaxy S;Galaxy S24;8;256 GB;5G;Preto; novo ;Amazon Brasil;Amazon.com.br;R$ 3.849,90 no Pix;BRL;PIX;Em estoque;Nenhum;https://amazon.example/ofertas/mock-047;Smartphones;Samsung Galaxy S24 256GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-002;Smartphone Samsung Galaxy A15 5G 128GB 4GB RAM Preto; SAMSUNG ;Galaxy A;Galaxy A15;4 GB;128GB;5G;Preto; novo ;KaBuM!;Kabum;962,90;BRL;PIX;Em estoque;Nenhum;https://kabum.example/ofertas/mock-002;Smartphones;Samsung Galaxy A15 128GB;2026-09-17T10:00:00-03:00;SIMULADO
MOCK-060;Smartphone Samsung Galaxy S24 Ultra 5G 256GB 12GB RAM Preto;samsung;Galaxy S;Galaxy S24 Ultra;12 GB;256GB;5G;Preto;NOVO;Fast Shop;FAST SHOP; 5.999,90 ;BRL; pix ; disponível ;Nenhum;https://fast-shop.example/ofertas/mock-060;Smartphones;Samsung Galaxy S24 Ultra 256GB;2026-09-17T10:00:00-03:00;SIMULADO
